title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
teenage mutant ninja turtles: out of the shadows,2016,"Action,Adventure,Comedy,Family,Science Fiction",50.271,6.032,3505.0,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",2016-06-01,en
teenage mutant ninja turtles iii,1993,"Action,Adventure,Comedy,Family,Fantasy,Science Fiction",17.511,5.5,825.0,Teenage Mutant Ninja Turtles III,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1993-03-17,en
batman vs teenage mutant ninja turtles,2019,"Animation,Action,Science Fiction",19.156,7.122,489.0,Batman vs Teenage Mutant Ninja Turtles,"Batman, Batgirl, and Robin forge an alliance with the Teenage Mutant Ninja Turtles to fight against the Turtles' sworn enemy, The Shredder, who has apparently teamed up with Ra's Al Ghul and The League of Assassins.",2019-03-31,en
rise of the teenage mutant ninja turtles: the movie,2022,"Animation,Action,Science Fiction",18.656,7.2,170.0,Rise of the Teenage Mutant Ninja Turtles: The Movie,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.",2022-08-04,en
teenage mutant ninja turtles ii: the secret of the ooze,1991,"Science Fiction,Adventure,Action,Comedy,Family",20.33,6.2,1138.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",1991-03-22,en
teenage mutant ninja turtles: mutant mayhem 2,2026,"Animation,Comedy,Action,Adventure",3.555,0.0,0.0,Teenage Mutant Ninja Turtles: Mutant Mayhem 2,A currently-in-production sequel to the 2023 film Teenage Mutant Ninja Turtles: Mutant Mayhem. Plot TBA.,2026-10-09,en
teenage mutant ninja turtles: the epic begins,1988,"Animation,Family",1.749,7.3,15.0,Teenage Mutant Ninja Turtles: The Epic Begins,"The first TMNT direct-to-video movie! Meet Raphael, Michaelangelo, Donatello and Leonardo, the Renaissance turtles who are fighting evil for truth, justice and a larger slice of pizza. Heroes in a half shell... Turtle Power!",1988-11-11,en
teenage mutant ninja turtles mania: behind the shells — the making of 'teenage mutant ninja turtles',1991,"Documentary,Family",2.975,6.1,8.0,Teenage Mutant Ninja Turtles Mania: Behind the Shells — The Making of 'Teenage Mutant Ninja Turtles',"This short documentary treats movie fans to a behind-the-scenes look at the making of the first two Teenage Mutant Ninja Turtles live-action film adaptations of the popular comic book and animated series. Included are interviews with the cast and crew who share their experiences from making the film, as well as discuss the efforts that went into it.",1991-10-14,en
turtle power: the definitive history of the teenage mutant ninja turtles,2014,Documentary,5.955,7.4,27.0,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles,"In the spring of 1984, a strange new comic book sat beside cash registers in select shops, too big to fit in the racks, and too weird to ignore. Eastman and Laird's Teenage Mutant Ninja Turtles presented a completely original breed of super hero. It was too bizarre, too crazy. It broke all the rules and should never have worked. Until it sold out. Again and again and again. For 30 years. Now, peek under the shell and see how this so-called ""happy accident"" defied every naysayer to become one of the most popular and beloved franchises in the world.",2014-08-12,en
teenage mutant ninja turtles: the coming out of their shells tour,1990,Music,3.281,5.3,12.0,Teenage Mutant Ninja Turtles: The Coming Out of Their Shells Tour,"A live concert video, with the help of the fans and April O'Neil, the Ninja Turtles have to stop Shredder and Baxter Stockman from destroying all of the music in the world.",1990-10-03,en
teenage mutant ninja turtles: we wish you a turtle christmas,1994,"Comedy,Music,Family",2.468,2.5,11.0,Teenage Mutant Ninja Turtles: We Wish You a Turtle Christmas,"On Christmas Eve, the Turtles realize they've forgotten to get Splinter a gift. They hit the town to try to figure out what to get him, their kid fans join them and lots of singing, dancing and some rapping and shenanigans ensues.",1994-10-01,en
teenage mutant ninja turtles: legend of the super mutants,1996,"Action,Animation,Adventure",0.68,5.0,1.0,Super Turtles: Myūtanto Tātoruzu: Chōjin Densetsu-hen,"ミュータントタートルズ 超人伝説編, Super Turtles: Myūtanto Tātoruzu: Chōjin Densetsu-hen) is an original video animation based on the Teenage Mutant Ninja Turtles franchise.[1] The first episode is based on the Supermutants line while the second episode is based on the Metal Mutation line. The OVA was produced by Bee Media and Tsuburaya Productions. The OVA features most of the same cast as TV Tokyo's Japanese dub of the 1987 TV series, most notably Hideyuki Umezu.",1996-05-21,en
lucy,2014,"Action,Science Fiction",74.282,6.455,16003.0,Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",2014-07-25,en
lucy,2018,"Drama,Romance",1.214,5.2,6.0,Lucy,"A solitary Foley Artist secretly films his neighbor and reconstructs the sounds of her life, while creating an imaginary relationship that leads him to discover closely the true sound of his obsession: Lucy.",2018-10-13,es
lucy shimmers and the prince of peace,2020,"Drama,Family",30.282,8.4,278.0,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2020-10-19,en
oh lucy!,2017,"Comedy,Drama,Romance",7.425,6.7,100.0,オー・ルーシー！,"A lonely, chain-smoking office lady in Tokyo falls for her teacher when she decides to take English lessons. When her teacher disappears, she sets out on a journey to find him.",2017-03-22,ja
the eyes of doña lucy,2023,Drama,1.43,7.0,4.0,Los Ojos De Doña Lucy,"Marco realizes the old lady in the neighborhood is getting blind, he and his friends plan a robbery, what could go wrong?",2023-03-20,es
lynn + lucy,2019,Drama,1.98,6.4,14.0,Lynn + Lucy,"Lynn and Lucy are lifelong best friends, their relationship as intense as any romance. Neither has ventured far from where they grew up. Lynn, who married her first boyfriend and whose daughter is fast growing up, is delighted when the charismatic, volatile Lucy has her first baby boy. Lucy, however, does not react to being a mother as Lynn expects. Soon, they find their friendship is tested in extreme circumstances.",2019-09-22,en
lucy goes gangsta,2022,"Family,Comedy",1.374,5.6,5.0,Lucy ist jetzt Gangster,"10-year-old Lucy is basically too good for this world. She is well-behaved, kind and perfect in every situation. Her best friend Rima and she herself want to make the world a little better with every little action. But then disaster threatens: Lucy’s parents run an ice cream parlor, and when the expensive ice cream machine breaks down, the parlor is threatened with closure. Lucy wants to prevent this at all costs. However, after much deliberation, she sees only one way to get money quickly: a bank robbery. To prepare for her big coup, she makes a deal with the class gangster Tristan. Under the code name “Operation Lucyfer”, he is supposed to teach her how to be mean and ruthless. So Lucy gets tutored in stealing, lying, cheating and blackmailing – and proves to be an amazingly docile student. Lucy barely recognizes herself. Her transformation from nerd to crook, however, causes many problems.",2022-08-24,de
dawn of the planet of the apes,2014,"Science Fiction,Action,Drama,Thriller",87.892,7.3,11423.0,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",2014-07-08,en
transformers: age of extinction,2014,"Science Fiction,Action,Adventure",101.01,5.9,8148.0,Transformers: Age of Extinction,"As humanity picks up the pieces after the battle of Chicago, a shadowy group reveals itself in an attempt to control the direction of history…while an ancient, powerful new menace sets Earth in its crosshairs. With help from Cade Yeager, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet.",2014-06-25,en
think like a man too,2014,"Comedy,Romance",11.578,6.415,549.0,Think Like a Man Too,"All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",2014-06-20,en
22 jump street,2014,"Crime,Comedy,Action",26.212,6.838,7920.0,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",2014-06-05,en
the fault in our stars,2014,"Romance,Drama",47.568,7.6,11114.0,The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",2014-05-16,en
maleficent,2014,"Fantasy,Adventure,Action,Family,Romance",57.122,7.1,13090.0,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",2014-05-28,en
